ASX Code,Company Name,Status,NCA Intangibles(ExGW)
ARR,American Rare Earths Limited,Trading,0
ARU,Arafura Resources Limited,Trading,0
ARV,Artemis Resources Limited,Trading,"71,676.00"
ARX,Aroa Biosurgery Limited,Trading,"18,579,506.00"
AS1,Angel Seafood Holdings Ltd,Trading,"7,242,925.00"
ASB,Austal Limited,Trading,"9,288,000.00"
ASG,Autosports Group Limited,Trading,"10,677,000.00"
ASH,Ashley Services Group Limited,Trading,"238,000.00"
ASIA,BetaShares Asia Technology Tigers ETF,Trading,--
ASM,Australian Strategic Materials Limited,Trading,0
ASN,Anson Resources Limited,Trading,"2,517,958.00"
ASP,Aspermont Limited,Trading,"8,827,000.00"
ASQ,Australian Silica Quartz Group Ltd,Trading,0
AST,AusNet Services,Trading,"499,300,000.00"
ASW,Advanced Share Registry Ltd,Trading,"47,440.00"
ASX,ASX Limited,Trading,"179,200,000.00"
AT1,Atomo Diagnostics Limited,Trading,"1,518,334.00"
ATC,Altech Chemicals Ltd,Trading,0
ATEC,BetaShares S&P/ASX Australian Technology ETF,Trading,--
ATH,Alterity Therapeutics Limited,Trading,0
ATL,Apollo Tourism & Leisure Ltd,Trading,"20,170,000.00"
ATM,Aneka Tambang (Persero) Tbk (Pt),Suspended,"4,423,538.00"
ATP,Atlas Pearls Ltd,Trading,"173,410.00"
ATR,Astron Corporation Limited,Trading,0
ATS,Australis Oil and Gas Limited,Trading,0
ATU,Atrum Coal Limited,Trading,0
ATX,Amplia Therapeutics Limited,Trading,"7,937,932.00"
AU1,The Agency Group Australia Ltd,Suspended,"18,603,118.00"
AU8,AuMake International limited,Trading,"5,741,047.00"
AUB,AUB Group Limited,Trading,"56,076,000.00"
AUC,AusGold Limited,Trading,0
AUDS,Betashares Strong Australian Dollar Fund (Hedge Fund),Trading,--
AUH,AustChina Holdings Limited,Trading,0
AUI,Australian United Investment Company Limited,Trading,--
AUL,Austar Gold Limited,Trading,0
AUMF,ishares Edge MSCI Australia Multifactor ETF,Trading,--
AUP,Aurora Property Buy-Write Income Trust,Suspended,--
AUQ,Alara Resources Limited,Trading,0
AUR,Auris Minerals Limited,Trading,0
AUST,Betashares Managed Risk Australian Share Fund,Trading,--
AUT,Auteco Minerals Ltd,Trading,0
AUZ,Australian Mines Limited,Trading,"5,000.00"
AV1,Adveritas Limited,Trading,0
AVA,AVA Risk Group Limited,Trading,"6,615,000.00"
AVC,Auctus Investment Group Limited,Trading,"600,230.00"
AVE,Avecho Biotechnology Limited,Trading,"857,000.00"
AVG,Australian Vintage Ltd,Trading,"13,049,000.00"
AVH,"AVITA Therapeutics, Inc",Trading,"530,380.00"
AVJ,AVJennings Limited,Trading,--
AVL,Australian Vanadium Limited,Trading,0
AVN,Aventus Retail Property Fund,Trading,--
AVQ,Axiom Mining Limited,Suspended,0
AVR,Anteris Technologies Ltd,Trading,"1,699,391.00"
AVW,Avira Resources Ltd,Trading,0
AVZ,AVZ Minerals Limited,Trading,0
AWC,Alumina Limited,Trading,0
AWN,AWN Holdings Limited,Trading,"12,751,739.00"
AWV,Anova Metals Limited,Trading,0
AX1,Accent Group Limited,Trading,"47,356,000.00"
AX8,Accelerate Resources Limited,Trading,0
AXE,Archer Materials Limited,Trading,"89,987.00"
AXI,Axiom Properties Limited,Trading,--
AXT,Argo Exploration Limited,Suspended,0
AYI,A1 Investments & Resources Ltd,Trading,--
AYM,Australia United Mining Limited,Trading,0
AYS,Amaysim Australia Limited,Trading,"49,403,000.00"
AZI,Alta Zinc Limited,Trading,0
AZJ,Aurizon Holdings Limited,Trading,"182,300,000.00"
AZS,Azure Minerals Limited,Trading,0
AZV,Azure Healthcare Limited,Trading,"2,881,000.00"
AZY,Antipa Minerals Limited,Trading,0
B2Y,Bounty Mining Limited,Suspended,0
BAP,Bapcor Limited,Trading,"91,725,000.00"
BAR,Barra Resources Limited,Trading,0
BAS,Bass Oil Limited,Trading,0
BAT,Battery Minerals Limited,Trading,"124,788.00"
BBC,BNK Banking Corporation Limited,Trading,--
BBL,Brisbane Broncos Limited,Trading,"12,510,580.00"
BBN,Baby Bunting Group Limited,Trading,"3,690,000.00"
BBOZ,Betashares Austalian Equities Strong Bear Hedge Fund,Trading,--
BBUS,BetaShares U.S. Equities Strong Bear Hedge Fund - Currency Hedged,Trading,--
BBX,BBX Minerals Limited,Trading,0
BC8,Black Cat Syndicate Limited,Trading,0
BCB,Bowen Coking Coal Limited,Trading,0
BCC,Beam Communications Holdings Limited ,Trading,"3,803,161.00"
BCI,BCI Minerals Limited,Trading,"18,502,000.00"
BCK,Brockman Mining Limited,Trading,0
BCN,Beacon Minerals Limited,Trading,0
BCT,Bluechiip Limited,Trading,0
BD1,BARD1 Life Sciences Limited,Trading,--
BDA,Bod Australia Limited,Trading,"447,679.00"
BDC,Bardoc Gold Limited,Trading,0
BDG,Black Dragon Gold Corp,Trading,0
BDI,Blina Minerals NL,Suspended,0
BEAR,BetaShares Australian Equities Bear Hedge Fund,Trading,--
BEE,Broo Ltd,Trading,"216,380.00"
BEL,Bentley Capital Limited,Trading,--
BEM,BlackEarth Minerals NL,Trading,0
BEN,Bendigo and Adelaide Bank Limited,Trading,--
BET,Betmakers Technology Group Ltd,Trading,"5,616,863.00"
BFC,Beston Global Food Company Limited,Trading,"1,230,000.00"
BFG,Bell Financial Group Limited,Trading,--
BGA,Bega Cheese Limited,Trading,"201,650,000.00"
BGL,Bellevue Gold Limited,Trading,0
BGP,Briscoe Group Australasia Limited,Trading,"3,341,371.00"
BGT,Bio-Gene Technology Ltd,Trading,"350,955.00"
BHD,Benjamin Hornigold Limited,Trading,--
BHL,Boyuan Holdings Limited,Trading,--
BHP,BHP Group Limited,Trading,"549,322,453.00"
BID,BidEnergy Limited,Trading,"1,757,830.00"
BILL,iShares Core Cash ETF,Trading,--
BIN,Bingo Industries Limited,Trading,"178,187,000.00"
BIQ,"BuildingIQ, Inc",Trading,"3,876,181.00"
BIR,Bir Financial Limited,Trading,--
BIS,Bisalloy Steel Group Limited,Trading,"170,000.00"
BIT,Biotron Limited,Trading,0
BKI,BKI Investment Company Limited,Trading,--
BKL,Blackmores Limited,Trading,"36,853,000.00"
BKT,Black Rock Mining Limited,Trading,0
BKW,Brickworks Limited,Trading,"17,318,000.00"
BKY,Berkeley Energia Limited,Trading,0
BLD,Boral Limited,Trading,"1,023,500,000.00"
BLG,Bluglass Limited,Trading,0
BLU,Blue Energy Limited,Trading,0
BLX,Beacon Lighting Group Limited,Trading,"180,000.00"
BLY,Boart Longyear Limited,Trading,"39,443,334.00"
BLZ,Blaze International Limited,Trading,0
BMG,BMG Resources Limited,Trading,0
BMH,Baumart Holdings Limited,Trading,"3,583.00"
BMN,Bannerman Resources Limited,Trading,0
BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund),Trading,--
BNKS,Betashares Global Banks ETF - Currency Hedged,Trading,--
BNL,Blue Star Helium Limited,Trading,0
BNO,Bionomics Limited,Trading,"11,766,412.00"
BNR,Bulletin Resources Limited,Trading,0
BOA,Boadicea Resources Limited,Trading,0
BOC,Bougainville Copper Limited,Trading,0
BOE,Boss Resources Limited,Trading,0
BOL,Boom Logistics Limited,Trading,0
BOND,SPDR S&P/ASX Australian Bond Fund,Trading,--
BOQ,Bank of Queensland Limited,Trading,--
BOT,Botanix Pharmaceuticals Ltd,Trading,0
BPH,BPH Energy Ltd,Trading,0
BPP,Babylon Pump & Power Limited,Trading,0
BPT,Beach Energy Limited,Trading,0
BRB,Breaker Resources NL,Trading,0
BRG,Breville Group Limited,Trading,"93,562,000.00"
BRI,Big River Industries Limited,Trading,"2,519,052.00"
BRK,Brookside Energy Limited,Trading,0
BRL,Bathurst Resources Limited,Trading,0
BRN,Brainchip Holdings Ltd,Trading,"1,242,727.00"
BRU,Buru Energy Limited,Trading,0
BRV,Big River Gold Limited,Trading,0
BSA,BSA Limited,Trading,"7,418,000.00"
BSE,Base Resources Limited,Trading,0
BSL,BlueScope Steel Limited,Trading,"427,900,000.00"
BSM,Bass Metals Ltd,Trading,0
BSP,Black Star Petroleum Limited,Suspended,--
BSR,Bassari Resources Limited,Suspended,0
BSX,Blackstone Minerals Limited,Trading,0
BTC,BTC Health Ltd,Trading,0
BTH,Bigtincan Holdings Limited,Trading,"13,330,000.00"
BTI,Bailador Technology Investments Limited,Trading,--
BUB,Bubs Australia Limited,Trading,"47,028,954.00"
BUD,Buddy Technologies Ltd,Trading,"25,050,000.00"
BUG,Buderim Group Limited,Trading,"1,720,000.00"
BUX,Buxton Resources Limited,Trading,0
BUY,Bounty Oil & Gas NL,Trading,0
BVS, Bravura Solutions Limited,Trading,"60,735,000.00"
BWF,Blackwall Limited,Trading,--
BWP,BWP Trust,Trading,--
BWR,Blackwall Property Trust,Trading,--
BWX,BWX Limited,Trading,"130,394,000.00"
BXB,Brambles Limited,Trading,"97,770,654.00"
BXN,Bioxyne Limited,Trading,"30,269.00"
BYE,Byron Energy Limited,Trading,"240,899.00"
BYH,Bryah Resources Limited,Trading,0
BYI,Beyond International Limited,Trading,0
C6C,Copper Mountain Mining Corporation,Trading,0
CAA,Capral Limited,Trading,"452,000.00"
CAD,Caeneus Minerals Ltd,Trading,--
CAE,Cannindah Resources Limited,Trading,0
CAF,Centrepoint Alliance Limited,Trading,--
CAG,Cape Range Ltd,Trading,"1,565,169.00"
CAI,Calidus Resources Limted,Trading,0
CAJ,Capitol Health Limited,Trading,"8,227,000.00"
CAM,Clime Capital Limited,Trading,--
CAN,Cann Group Limited,Trading,"827,636.00"
CAP,Carpentaria Resources Ltd,Trading,0
CAQ,CAQ Holdings Limited,Trading,--
CAR,Carsales.com Limited,Trading,"107,255,000.00"
CAT,Catapult Group International Limited,Trading,"34,403,000.00"
CAU,Cronos Australia Limited,Trading,"200,000.00"
CAV,Carnavale Resources Limited,Trading,0
CAY,Canyon Resources Ltd,Trading,0
CAZ,Cazaly Resources Limited,Trading,0
CBA,Commonwealth Bank of Australia,Trading,--
CBE,Cobre Ltd,Trading,0
CBR,Carbon Revolution Limited,Trading,"17,947,000.00"
CBY,Canterbury Resources Ltd,Trading,0
CCA,Change Financial Limited,Trading,1
CCE,Carnegie Clean Energy Limited,Trading,"14,590,973.00"
CCG,CommsChoice Group Limited,Trading,"2,812,977.00"
CCJ,County International Limited,Suspended,0
CCL,Coca-Cola Amatil Limited,Trading,"1,109,700,000.00"
CCP,Credit Corp Group Limited,Trading,0
CCR,Credit Clear Limited,Trading,"7,619,000.00"
CCV,Cash Converters International,Trading,"21,371,000.00"
CCX,City Chic Collective Limited,Trading,"16,727,000.00"
CCZ,Castillo Copper Limited,Trading,0
CD1,CD Private Equity Fund I,Trading,--
CD2,CD Private Equity Fund II,Trading,--
CD3,CD Private Equity Fund III,Trading,--
CDA,Codan Limited,Trading,"2,930,000.00"
CDD,Cardno Limited,Trading,"6,555,000.00"
CDH,Chongherr Investments Ltd,Suspended,0
CDM,Cadence Capital Limited,Trading,--
CDP,Carindale Property Trust,Trading,--
CDT,Castle Minerals Limited,Trading,0
CDV,Cardinal Resources Limited,Trading,0
